objectid,projectid,epgeoname,y,x,ward,constituency,county,project_cost_yearly_breakdown__,total_project_cost__kes_,approval_date,start_date__planned_,start_date__actual_,end_date__planned_,end_date__actual_,duration,duration__months_,project_title,project_description,project_objectives,ng_programme,vision_2030_flagship_ministry,vision_2030_flagship_project_pr,implementing_agency,implementation_status,mtef_sector,work_plan_progress____
2001,2014/055077,Unspecified,0.211434,35.395105,,KESSES,UASIN GISHU,,,,,,,,,,,,,,,,,,,0
2002,2014/055087,Unspecified,0.211434,35.395105,,KESSES,UASIN GISHU,,,,,,,,,,,,,,,,,,,0
2003,2014/055104,Unspecified,0.211434,35.395105,,KESSES,UASIN GISHU,,,,,,,,,,,,,,,,,,,0
2004,2012/053953,Nation Wide - Kenya,0.21309905,34.58023737,MARAMA NORTH,BUTERE,KAKAMEGA,47598750,63465000,,,,,,66 months 0,66 months,Rural Electrification Project,Supply and construction of 19991 km of 33kV medium voltage distribution lines and 591 units of 33/0.415 kVA distribution transformers and 709 km of 415 V low voltage distribution lines.,Electrification of 591 centres and about 35450 households in 66 constituencies accross Kenya.,021300 - Power  Transmission and Distribution,Unspecified,Unspecified,1151 - Ministry of Energy & Petroleum,Ongoing,"Energy, Infrastructure and ICT",0
2005,2012/053369,Unspecified,0.22021593,38.13748007,IGEMBE EAST,IGEMBE CENTRAL,MERU,6753355705,8104026846,,,,,,120 months 25 days,120 months,Judicial Preformance Improvement Project (JPIP),"Improve the performance of judiciary to provide its services in the project areas in a more effective and accountable manner.
Project has four components:
i) Court Administration and Case Management
ii) Judiciary Training and Staff Development
iii) Court",To improve the performance of the Judiciary to provide its services in the Project areas in a more effective and accountable manner.,060700 - Constitutional Reforms,Office of The Attorney General and Department of Justice,Constitutional Reform,1261 - The Judiciary,Ongoing,"Governance, Justice, Law and Order (GJLOS)",0
2006,2013/054408,Unspecified,0.23607726,35.9534411,EMINING,MOGOTIO,BARINGO,,,,,,,,,,,,,,,,,,,0
2007,2014/054887,Unspecified,0.236428,34.226167,,UGENYA,SIAYA,,,,,,,,,,,,,,,,,,,0
2008,2014/055063,Unspecified,0.236428,34.226167,,UGENYA,SIAYA,,,,,,,,,,,,,,,,,,,0
2009,2014/054768,Unspecified,0.465911,36.06386,,BARINGO SOUTH,BARINGO,395133100,395133100,,,,,,14 months 29 days,14 months,"Rural Water Supply Project In East Pokot, Baringo County",To construct 30 boreholes targeting villages in East Pokot,Improve water accessibility in East Pokot,100400 - Water Resources Management,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources,Planned,"Environmental Protection, Water and Natural Resources",0
2010,2013/054093,Kenya,0.23975004,40.79127692,LIBOI,DAADAB,GARISSA,117500000,130500000,,,,,,64 months 29 days,64 months,Economic Empowerment Programme,"The overall outcome of the programme shall be (1) enhance and mainstream inclusivenessof the poor and vulnerable in istitutional and policy framework and private sector participation in job-rich and pro-poor growth, and (2) empower the poor and vulnerabl","The overall outcome of the programme shall be (1) enhance and mainstream inclusivenessof the poor and vulnerable in istitutional and policy framework and private sector participation in job-rich and pro-poor growth, and (2) empower the poor and vulnerabl",070600 - Economic Policy and National Planning,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1031 - State Department for Planning,Planned,Public Administration and International Relations (PAIR),0
