residence_county,Headcount Rate (%),Distribution of the Poor (%),Poverty Gap (%),Severity of Poverty (%),Population (ths),Number of Poor (ths)
National,32,100,9.2,3.9,"45,371","14,539"
Rural,35.8,71.7,10.3,4.4,"29,127","10,419"
Peri-Urban,28.9,6.6,7.4,2.9,"3,340",817
Core-Urban,24.4,21.7,7.2,3,"12,905","3,728"
Mombasa,23.6,1.9,7.2,3.1,"1,185",280
Kwale,41.1,2.3,10.4,3.6,820,337
Kilifi,48.4,4.7,12.6,4.9,"1,400",678
Tana River,55.4,1.2,18.2,8.8,304,168
Lamu,19.9,0.2,4.8,1.8,128,25
Taita/Taveta,38.9,1,9,3.3,358,139
Garissa,45.2,1.3,14.4,6.5,432,195
Wajir,41.3,1.3,11.8,5.3,459,189
Mandera,61.9,3,26.4,14.2,711,440
Marsabit,55.6,1.2,17.9,8,316,176
Isiolo,34.2,0.4,9.2,3.5,156,53
Meru,15.5,1.6,3.8,1.4,"1,471",228
Tharaka-Nithi,31.2,0.8,7.1,2.3,396,123
Embu,28.3,1.1,6.9,2.7,560,158
Kitui,39.4,3,12.5,5.7,"1,098",432
Machakos,24.1,2,6.8,2.8,"1,191",287
Makueni,30.7,2,9.1,3.8,959,295
Nyandarua,29.8,1.4,5.9,1.8,686,205
Nyeri,15.5,0.9,3,0.8,798,124
Kirinyaga,18.8,0.8,3,0.9,608,114
Muranga,22.7,1.7,5.7,2.2,"1,085",246
Kiambu,23.5,3,5.9,2.2,"1,868",439
Turkana,66.1,4.9,32.9,20.4,"1,084",716
West Pokot,57.3,2.6,20.4,9.4,649,372
Samburu,60.1,1.2,22.7,11.3,284,171
Trans Nzoia,33.3,2.4,9.9,4.1,"1,038",345
Uasin Gishu,38.2,3,11.7,5,"1,133",433
Elgeyo/Marakwet,44.8,1.4,10.8,4,469,210
Nandi,31.5,2.1,8.3,3.1,954,300
Baringo,41.4,2,10.8,4.1,704,291
Laikipia,28.5,1,9.2,4.2,507,145
Nakuru,19.6,2.7,4.8,1.7,"2,031",399
Narok,22.1,1.6,6.7,3,"1,078",238
Kajiado,36.9,2.2,12.3,5.5,871,321
Kericho,31.4,2,7.3,2.9,945,297
Bomet,32.8,2.1,5.6,1.6,916,300
Kakamega,33.3,4.3,8.3,3.1,"1,876",624
Vihiga,36.6,1.6,9.5,4,627,230
Bungoma,32.4,3.5,9.5,3.9,"1,553",503
Busia,59.5,3.4,17.5,7.2,840,500
Siaya,27.3,1.8,7.2,3.1,985,269
Kisumu,32.5,2.5,8.3,3.3,"1,132",368
Homa Bay,22.7,1.7,6,2.4,"1,072",244
Migori,32,2.5,7.9,3,"1,126",360
Kisii,44.5,4.1,11.6,4.3,"1,347",599
Nyamira,36.3,1.7,10.1,4.1,699,254
Nairobi City,16.1,4.9,3.9,1.5,"4,463",717
